,Accuracy Score,Confusion Matrix,Training Time,Predict Time,Processing
0,0.8991596638655462,"[[27  7]
 [ 5 80]]",0.001138925552368164,0.005645036697387695,Label Encoded
1,0.8991596638655462,"[[28  6]
 [ 6 79]]",0.0009579658508300781,0.005370140075683594,One Hot Encoded
2,0.8403361344537815,"[[18 16]
 [ 3 82]]",0.001007080078125,0.0061168670654296875,Standard Scaled
3,0.9243697478991597,"[[32  2]
 [ 7 78]]",0.000698089599609375,0.0032520294189453125,Feature Selection
4,0.8991596638655462,"[[28  6]
 [ 6 79]]",0.0009989738464355469,0.005354404449462891,PCA
